time,summary,icon,sunriseTime,sunsetTime,moonPhase,precipIntensity,precipIntensityMax,precipIntensityMaxTime,precipProbability,precipType,temperatureHigh,temperatureHighTime,temperatureLow,temperatureLowTime,apparentTemperatureHigh,apparentTemperatureHighTime,apparentTemperatureLow,apparentTemperatureLowTime,dewPoint,humidity,pressure,windSpeed,windGust,windGustTime,windBearing,cloudCover,uvIndex,uvIndexTime,visibility,ozone,temperatureMin,temperatureMinTime,temperatureMax,temperatureMaxTime,apparentTemperatureMin,apparentTemperatureMinTime,apparentTemperatureMax,apparentTemperatureMaxTime
"Mon Jan 01 2018","Mostly cloudy in the morning.","partly-cloudy-day",1514811342,1514846881,0.48,0,0,,0,,23.15,1514840400,7.49,1514898000,17.31,1514836800,2.19,1514894400,6.42,0.65,1037.62,4.2,14.09,1514833200,3,0.19,,,9.77,,11.48,1514808000,23.15,1514840400,3.27,1514800800,17.31,1514836800
"Tue Jan 02 2018","Partly cloudy starting in the evening.","partly-cloudy-night",1514897751,1514933326,0.53,0,0,,0,,29.9,1514926800,19.01,1514984400,29.9,1514926800,19.01,1514984400,4.97,0.57,1035.61,2.11,8.83,1514876400,15,0.07,,,9.95,,7.49,1514898000,29.9,1514926800,2.19,1514894400,29.9,1514926800
"Wed Jan 03 2018","Mostly cloudy until afternoon.","partly-cloudy-day",1514984158,1515019773,0.56,0,0,,0,,35.85,1515013200,17.2,1515074400,35.07,1515006000,12.47,1515074400,9.69,0.51,1024.13,1.41,7.77,1515016800,288,0.46,,,9.92,,19.01,1514984400,35.85,1515013200,19.01,1514984400,35.07,1515006000
"Thu Jan 04 2018","Mostly cloudy overnight.","partly-cloudy-night",1515070564,1515106221,0.6,0,0.0002,1515092400,0,,25.76,1515099600,12.91,1515157200,22.32,1515110400,12.91,1515157200,9.08,0.61,1024.81,2.76,11.87,1515092400,326,0.02,,,9.97,,16.9,1515128400,25.76,1515099600,12.01,1515078000,22.32,1515110400
"Fri Jan 05 2018","Partly cloudy in the morning.","partly-cloudy-night",1515156967,1515192670,0.64,0,0,,0,,35.13,1515186000,17.95,1515243600,35.13,1515186000,17.95,1515243600,8.98,0.56,1029.51,0.66,7.29,1515178800,326,0.17,,,9.96,,12.91,1515157200,35.13,1515186000,12.91,1515157200,35.13,1515186000
"Sat Jan 06 2018","Clear throughout the day.","clear-day",1515243369,1515279120,0.67,0.0002,0.0045,1515272400,0.04,"snow",35.77,1515272400,20.11,1515308400,35.77,1515272400,20.07,1515330000,9.97,0.53,1033.14,1.53,7.53,1515261600,27,0.02,,,9.9,,17.95,1515243600,35.77,1515272400,17.95,1515243600,35.77,1515272400
"Sun Jan 07 2018","Mostly cloudy starting in the afternoon.","partly-cloudy-night",1515329769,1515365571,0.71,0.0003,0.0038,1515308400,0.02,"rain",43.13,1515355200,33.4,1515409200,40.19,1515355200,29.21,1515409200,13.31,0.45,1028.99,3.47,13.09,1515376800,137,0.28,,,9.87,,20.11,1515308400,43.13,1515355200,20.07,1515330000,40.19,1515355200
"Mon Jan 08 2018","Rain in the morning and afternoon.","rain",1515416167,1515452023,0.74,0.0306,0.1218,1515445200,0.97,"rain",43.64,1515452400,39.66,1515499200,43.64,1515452400,39.66,1515499200,34.45,0.85,1021.67,2.8,11.28,1515391200,136,0.95,,,6.74,,33.4,1515409200,43.64,1515452400,29.21,1515409200,43.64,1515452400
"Tue Jan 09 2018","Foggy in the morning.","fog",1515502564,1515538476,0.77,0.0012,0.0067,1515495600,0.44,"rain",54.96,1515535200,43.17,1515571200,54.96,1515535200,43.17,1515571200,45.28,0.95,1022.24,0.95,5.78,1515524400,112,0.79,,,5.99,,39.66,1515499200,54.96,1515535200,39.66,1515499200,54.96,1515535200
"Wed Jan 10 2018","Overcast throughout the day.","cloudy",1515588958,1515624929,0.81,0.0001,0.001,1515618000,0.12,"rain",63.37,1515614400,57.55,1515675600,63.37,1515614400,57.55,1515675600,52.99,0.91,1020.03,2.83,12.01,1515614400,140,0.81,,,8.73,,43.17,1515571200,63.37,1515614400,43.17,1515571200,63.37,1515614400
"Thu Jan 11 2018","Rain overnight.","rain",1515675351,1515711384,0.84,0.0001,0.0003,1515668400,0.05,"rain",67.07,1515700800,51.93,1515765600,67.17,1515700800,51.93,1515765600,58.01,0.88,1013.38,4.29,12.55,1515690000,143,0.91,,,9.74,,57.55,1515675600,67.07,1515700800,57.55,1515675600,67.17,1515700800
"Fri Jan 12 2018","Overcast throughout the day.","cloudy",1515761742,1515797839,0.87,0.008,0.0685,1515744000,0.94,"rain",57.57,1515762000,23.89,1515808800,57.57,1515762000,17.22,1515812400,37.54,0.89,1010.72,2.45,15.1,1515798000,295,0.99,,,8.65,,23.89,1515808800,61.84,1515736800,17.03,1515801600,62.06,1515736800
"Sat Jan 13 2018","Overcast until afternoon.","cloudy",1515848131,1515884295,0.9,0.0003,0.0075,1515826800,0.05,"snow",26.86,1515877200,15.68,1515927600,22.98,1515877200,11.36,1515920400,18.49,0.79,1030.42,4.08,13.82,1515844800,347,0.71,,,9.93,,18.8,1515906000,26.86,1515877200,14.39,1515902400,22.98,1515877200
"Sun Jan 14 2018","Mostly cloudy starting in the evening.","partly-cloudy-night",1515934518,1515970752,0.93,0,0.0005,1515913200,0,,35.54,1515963600,25.46,1515988800,35.54,1515963600,25.46,1515988800,14.29,0.67,1034.8,1.25,7.2,1515909600,28,0.22,,,9.95,,15.68,1515927600,35.54,1515963600,11.36,1515920400,35.54,1515963600
"Mon Jan 15 2018","Mostly cloudy in the morning.","partly-cloudy-night",1516020903,1516057209,0.96,0,0,,0,,49.73,1516050000,24.61,1516111200,49.06,1516050000,19.82,1516111200,22.71,0.61,1028.96,1.42,10.21,1516039200,209,0.23,,,9.88,,25.67,1515996000,49.73,1516050000,25.67,1515996000,49.06,1516050000
"Tue Jan 16 2018","Mostly cloudy throughout the day.","partly-cloudy-day",1516107287,1516143667,0.99,0,0.0003,1516129200,0,,25.6,1516107600,5.96,1516183200,21.56,1516125600,-1.24,1516183200,17.77,0.82,1033.28,3.19,10.75,1516100400,352,0.69,,,8.28,,11.68,1516165200,31.55,1516096800,5.67,1516165200,31.55,1516096800
"Wed Jan 17 2018","Mostly cloudy in the morning.","partly-cloudy-day",1516193668,1516230126,0.02,0,0,,0,,23.1,1516222800,9.58,1516269600,20.57,1516230000,9.58,1516269600,7.45,0.75,1036.65,3.05,11.11,1516208400,343,0.28,,,9.39,,5.96,1516183200,23.1,1516222800,-1.24,1516183200,20.57,1516230000
"Thu Jan 18 2018","Clear throughout the day.","clear-day",1516280048,1516316585,0.05,0.0002,0.0009,1516302000,0.17,"snow",36.05,1516309200,15.56,1516366800,36.05,1516309200,15.56,1516366800,13.21,0.73,1032.97,0.41,6.01,1516309200,298,0,,,9.69,,9.58,1516269600,36.05,1516309200,9.58,1516269600,36.05,1516309200
"Fri Jan 19 2018","Overcast starting in the evening.","cloudy",1516366426,1516403044,0.08,0.0001,0.0011,1516345200,0.07,"rain",49.03,1516399200,40.41,1516413600,49.03,1516399200,40.41,1516413600,18.95,0.62,1026.43,0.77,6.45,1516384800,208,0.24,,,9.92,,15.56,1516366800,49.03,1516399200,15.56,1516366800,49.03,1516399200
"Sat Jan 20 2018","Mostly cloudy until afternoon.","partly-cloudy-day",1516452803,1516489504,0.11,0,0,,0,,63.44,1516482000,41.83,1516525200,63.44,1516482000,41.83,1516525200,33.37,0.55,1023.45,1.53,9.2,1516478400,200,0.61,,,9.76,,42.08,1516438800,63.44,1516482000,42.08,1516438800,63.44,1516482000
"Sun Jan 21 2018","Mostly cloudy throughout the day.","partly-cloudy-day",1516539177,1516575964,0.15,0,0.0003,1516550400,0,,68.87,1516568400,55.15,1516626000,68.87,1516568400,55.15,1516626000,43.25,0.66,1021.09,1.73,9.37,1516561200,171,0.56,,,9.88,,41.83,1516525200,68.87,1516568400,41.83,1516525200,68.87,1516568400
"Mon Jan 22 2018","Rain in the afternoon.","rain",1516625550,1516662424,0.18,0.005,0.0668,1516647600,0.9,"rain",62.66,1516654800,37.83,1516712400,62.66,1516654800,37.83,1516712400,49.65,0.75,1012.51,3.72,14.88,1516654800,175,0.51,,,9.65,,52.3,1516683600,62.66,1516654800,52.3,1516683600,62.66,1516654800
"Tue Jan 23 2018","Mostly cloudy starting in the afternoon.","partly-cloudy-night",1516711921,1516748885,0.21,0.0002,0.004,1516690800,0.04,"rain",48.45,1516726800,26.72,1516798800,46.01,1516726800,26.72,1516798800,32.34,0.65,1017.85,3.37,12.48,1516737600,275,0.29,,,9.93,,36.53,1516762800,50.03,1516687200,36.53,1516762800,50.03,1516687200
"Wed Jan 24 2018","Clear throughout the day.","clear-day",1516798291,1516835346,0.25,0,0,,0,,51.84,1516827600,24.05,1516885200,51.84,1516827600,24.05,1516885200,28.43,0.7,1027.08,1.72,12.97,1516824000,292,0.15,,,9.8,,26.72,1516798800,51.84,1516827600,26.72,1516798800,51.84,1516827600
