time,summary,icon,sunriseTime,sunsetTime,moonPhase,precipIntensity,precipIntensityMax,precipIntensityMaxTime,precipProbability,precipType,temperatureHigh,temperatureHighTime,temperatureLow,temperatureLowTime,apparentTemperatureHigh,apparentTemperatureHighTime,apparentTemperatureLow,apparentTemperatureLowTime,dewPoint,humidity,pressure,windSpeed,windGust,windGustTime,windBearing,cloudCover,uvIndex,uvIndexTime,visibility,ozone,temperatureMin,temperatureMinTime,temperatureMax,temperatureMaxTime,apparentTemperatureMin,apparentTemperatureMinTime,apparentTemperatureMax,apparentTemperatureMaxTime
"Sun Jan 01 2012","Mostly cloudy in the morning.","partly-cloudy-day","1325422537","1325458057","0.26","0.0007","0.0076","1325433600","0.26","rain","61.78","1325433600","31.97","1325509200","61.78","1325433600","28.87","1325509200","42.07","0.63","1020.71","4.16","19.55","1325433600","272","0.4","","","9.91","",,"1325480400","61.78","1325433600","38.18","1325480400","61.78","1325433600"
"Mon Jan 02 2012","Mostly cloudy overnight.","partly-cloudy-night","1325508947","1325544502","0.29","0.0006","0.0102","1325545200","0.12","rain","42.32","1325530800","19.51","1325595600","37.22","1325530800","13.86","1325592000","14.93","0.43","1026.87","5.9","19.94","1325541600","307","0.03","","","10","",,"1325566800","42.32","1325530800","23.26","1325566800","37.31","1325484000"
"Tue Jan 03 2012","Clear throughout the day.","clear-day","1325595355","1325630948","0.32","0","0","","0","","34.76","1325624400","21.72","1325667600","34.26","1325628000","21.72","1325667600","12.25","0.56","1031.77","2.79","14.7","1325577600","332","0.16","","","9.82","",,"1325595600","34.76","1325624400","13.86","1325592000","34.26","1325628000"
"Wed Jan 04 2012","Clear throughout the day.","clear-day","1325681762","1325717395","0.35","0","0","","0","","51.75","1325710800","28.24","1325768400","51.75","1325710800","28.24","1325768400","23.54","0.65","1025.84","2.32","16.23","1325707200","222","0.04","","","9.72","",,"1325667600","51.75","1325710800","21.72","1325667600","51.75","1325710800"
"Thu Jan 05 2012","Clear throughout the day.","clear-day","1325768166","1325803844","0.38","0","0","","0","","57.78","1325797200","30.42","1325851200","57.78","1325797200","30.42","1325851200","31.96","0.74","1022.62","0.37","5.79","1325786400","254","0","","","9.02","",,"1325768400","57.78","1325797200","28.24","1325768400","57.78","1325797200"
"Fri Jan 06 2012","Mostly cloudy starting in the afternoon.","partly-cloudy-night","1325854569","1325890293","0.42","0","0","","0","","65.86","1325880000","54.35","1325937600","65.86","1325880000","54.35","1325937600","39.83","0.74","1018.53","1.68","10.98","1325883600","213","0.18","","","9.65","",,"1325851200","65.86","1325880000","30.42","1325851200","65.86","1325880000"
"Sat Jan 07 2012","Rain in the afternoon and overnight.","rain","1325940970","1325976744","0.45","0.0218","0.1192","1325966400","0.99","rain","58.04","1325959200","47.94","1326027600","58.04","1325959200","47.94","1326027600","53.64","0.93","1017.51","1.37","6.69","1325916000","216","0.89","","","7.06","",,"1325998800","58.04","1325959200","53.46","1325998800","58.04","1325959200"
"Sun Jan 08 2012","Light rain until afternoon.","rain","1326027370","1326063195","0.48","0.0103","0.0465","1326045600","0.93","rain","56.28","1326056400","51.31","1326081600","56.28","1326056400","51.31","1326081600","50.4","0.96","1020.75","0.67","3.73","1326060000","25","1","","","4.41","",,"1326027600","56.28","1326056400","47.94","1326027600","56.28","1326056400"
"Mon Jan 09 2012","Foggy until afternoon.","fog","1326113767","1326149647","0.52","0.0021","0.0075","1326164400","0.61","rain","59.34","1326139200","51.28","1326204000","59.53","1326139200","51.28","1326204000","54.23","0.97","1019.92","0.33","5.77","1326128400","337","0.99","","","3.65","",,"1326088800","59.34","1326139200","52.05","1326088800","59.53","1326139200"
"Tue Jan 10 2012","Rain overnight.","rain","1326200162","1326236101","0.55","0.007","0.0387","1326258000","0.91","rain","56.72","1326232800","55.88","1326250800","56.72","1326232800","55.88","1326250800","53.17","0.97","1014.12","1.74","8.49","1326254400","86","1","","","4.13","",,"1326204000","56.72","1326232800","51.28","1326204000","56.72","1326232800"
