time,summary,icon,sunriseTime,sunsetTime,moonPhase,precipIntensity,precipIntensityMax,precipIntensityMaxTime,precipProbability,precipType,temperatureHigh,temperatureHighTime,temperatureLow,temperatureLowTime,apparentTemperatureHigh,apparentTemperatureHighTime,apparentTemperatureLow,apparentTemperatureLowTime,dewPoint,humidity,pressure,windSpeed,windGust,windGustTime,windBearing,cloudCover,uvIndex,uvIndexTime,visibility,ozone,temperatureMin,temperatureMinTime,temperatureMax,temperatureMaxTime,apparentTemperatureMin,apparentTemperatureMinTime,apparentTemperatureMax,apparentTemperatureMaxTime
"Fri Jan 01 2016","Partly cloudy until afternoon.","partly-cloudy-day","1451652937","1451688458","0.74","0","0","","0","","39.19","1451685600","28.62","1451739600","39.19","1451685600","28.62","1451739600","30.8","0.81","1027.78","2.9","10.53","1451631600","356","0.5","","","9.83","",,"1451707200","39.19","1451685600","30.54","1451660400","39.19","1451685600"
"Sat Jan 02 2016","Clear throughout the day.","clear-day","1451739347","1451774903","0.77","0","0","","0","","47.88","1451768400","27.97","1451826000","47.88","1451768400","27.97","1451826000","28.47","0.75","1026.04","0.5","5.26","1451768400","319","0.08","","","9.79","",,"1451739600","47.88","1451768400","28.62","1451739600","47.88","1451768400"
"Sun Jan 03 2016","Partly cloudy in the afternoon.","partly-cloudy-day","1451825755","1451861349","0.8","0","0.0004","1451836800","0","","50.98","1451854800","29.53","1451912400","50.98","1451854800","25.72","1451912400","29.97","0.76","1020.63","0.7","7.27","1451883600","297","0.1","","","9.88","",,"1451826000","50.98","1451854800","27.97","1451826000","50.98","1451854800"
"Mon Jan 04 2016","Mostly cloudy until evening.","partly-cloudy-day","1451912161","1451947796","0.83","0.0001","0.0032","1451919600","0.03","snow","36.45","1451941200","22.43","1451998800","31.75","1451941200","20.25","1451970000","25.03","0.74","1026.53","4.19","14.3","1451923200","9","0.38","","","9.96","",,"1451966400","37.19","1451887200","20.25","1451970000","33.8","1451887200"
"Tue Jan 05 2016","Clear throughout the day.","clear-day","1451998566","1452034245","0.86","0","0","","0","","45.17","1452027600","29.3","1452049200","45.17","1452027600","27.54","1452081600","20.51","0.62","1031.55","1.4","8.49","1452009600","89","0.02","","","10","",,"1451998800","45.17","1452027600","22.43","1451998800","45.17","1452027600"
"Wed Jan 06 2016","Partly cloudy until evening.","partly-cloudy-day","1452084969","1452120694","0.89","0","0","","0","","47.53","1452114000","35.88","1452160800","47.53","1452114000","33.18","1452142800","23.41","0.56","1027.83","2.47","9.4","1452092400","127","0.27","","","9.66","",,"1452085200","47.53","1452114000","27.54","1452081600","47.53","1452114000"
"Thu Jan 07 2016","Mostly cloudy throughout the day.","partly-cloudy-day","1452171370","1452207145","0.92","0","0","","0","","54.82","1452200400","51.93","1452261600","54.82","1452200400","51.93","1452261600","36.57","0.68","1018.88","2.43","7.63","1452182400","131","0.74","","","9.53","",,"1452160800","54.82","1452200400","33.84","1452146400","54.82","1452200400"
"Fri Jan 08 2016","Overcast throughout the day.","cloudy","1452257769","1452293596","0.95","0.0006","0.0062","1452268800","0.65","rain","56.97","1452290400","49.51","1452330000","56.97","1452290400","49.51","1452330000","50.4","0.9","1013.77","2.8","7.84","1452276000","156","0.95","","","8.73","",,"1452315600","56.97","1452290400","51.82","1452315600","56.97","1452290400"
"Sat Jan 09 2016","Rain in the evening.","rain","1452344166","1452380048","0.98","0.0189","0.1613","1452384000","0.99","rain","54.57","1452373200","33.61","1452434400","54.57","1452373200","28.12","1452434400","49.17","0.92","1008.84","2.24","10.28","1452402000","154","0.84","","","9.15","",,"1452402000","54.57","1452373200","44.02","1452402000","54.57","1452373200"
"Sun Jan 10 2016","Overcast until afternoon.","cloudy","1452430562","1452466502","0.02","0.0005","0.0057","1452427200","0.12","snow","36.77","1452459600","16.49","1452517200","32.78","1452459600","13.23","1452506400","27.21","0.79","1017.44","4.59","14.85","1452409200","296","0.62","","","9.81","",,"1452488400","45.25","1452405600","18.91","1452481200","41.52","1452405600"
"Mon Jan 11 2016","Mostly cloudy starting in the evening.","partly-cloudy-night","1452516955","1452552956","0.06","0","0","","0","","40.26","1452546000","29.23","1452603600","40.26","1452546000","29.23","1452603600","16.42","0.65","1024.43","0.2","5.35","1452535200","235","0.26","","","9.88","",,"1452517200","40.26","1452546000","13.23","1452506400","40.26","1452546000"
"Tue Jan 12 2016","Clear throughout the day.","clear-day","1452603347","1452639411","0.09","0","0","","0","","51.54","1452628800","24.56","1452690000","51.54","1452628800","24.56","1452690000","25.71","0.58","1021.37","2.31","12.85","1452625200","261","0.18","","","9.87","",,"1452603600","51.54","1452628800","29.23","1452603600","51.54","1452628800"
