time,summary,icon,sunriseTime,sunsetTime,moonPhase,precipIntensity,precipIntensityMax,precipIntensityMaxTime,precipProbability,precipType,temperatureHigh,temperatureHighTime,temperatureLow,temperatureLowTime,apparentTemperatureHigh,apparentTemperatureHighTime,apparentTemperatureLow,apparentTemperatureLowTime,dewPoint,humidity,pressure,windSpeed,windGust,windGustTime,windBearing,cloudCover,uvIndex,uvIndexTime,visibility,ozone,temperatureMin,temperatureMinTime,temperatureMax,temperatureMaxTime,apparentTemperatureMin,apparentTemperatureMinTime,apparentTemperatureMax,apparentTemperatureMaxTime
"Thu Jan 01 2015","Mostly cloudy throughout the day.","partly-cloudy-day","1420116939","1420152469","0.39","0.002","0.0165","1420160400","0.93","rain","44.62","1420138800","39.44","1420167600","44.62","1420138800","39.44","1420167600","30.77","0.76","1027.76","0.07","5.29","1420135200","143","0.88","","","9.8","",,"1420117200","44.62","1420138800","30.81","1420117200","44.62","1420138800"
"Fri Jan 02 2015","Rain in the morning and afternoon.","rain","1420203349","1420238914","0.42","0.0185","0.0843","1420214400","0.96","rain","45.97","1420246800","46.32","1420250400","45.97","1420246800","45.94","1420254000","42.48","0.96","1024.86","1.05","8.3","1420257600","104","0.97","","","6.74","",,"1420178400","48.53","1420261200","39.96","1420178400","46.98","1420261200"
"Sat Jan 03 2015","Heavy rain until afternoon, starting again in the evening.","rain","1420289757","1420325361","0.46","0.0549","0.3868","1420336800","0.97","rain","61.72","1420326000","50.34","1420380000","62.13","1420326000","50.34","1420380000","55.64","0.97","1017.07","4.33","12.87","1420293600","145","1","","","7.18","",,"1420264800","61.72","1420326000","48","1420264800","62.13","1420326000"
"Sun Jan 04 2015","Mostly cloudy throughout the day.","partly-cloudy-day","1420376163","1420411808","0.48","0.0116","0.0558","1420358400","0.95","rain","51.87","1420376400","26.54","1420462800","51.87","1420376400","20.99","1420462800","45.5","0.85","1021.45","3.94","14.16","1420369200","270","0.92","","","9.67","",,"1420434000","61.73","1420354800","35.09","1420434000","62.13","1420354800"
"Mon Jan 05 2015","Mostly cloudy in the morning.","partly-cloudy-night","1420462567","1420498257","0.53","0.0011","0.0113","1420437600","0.05","snow","37.39","1420491600","26.31","1420534800","37.39","1420491600","26.31","1420534800","23.32","0.72","1034.79","2.99","13.08","1420441200","352","0.41","","","9.92","",,"1420462800","37.41","1420437600","20.99","1420462800","37.39","1420491600"
"Tue Jan 06 2015","Partly cloudy overnight.","partly-cloudy-night","1420548969","1420584706","0.55","0.0002","0.001","1420563600","0.04","rain","47.28","1420578000","29","1420639200","45.01","1420578000","23.42","1420635600","26.91","0.71","1028.33","1.77","9.28","1420560000","300","0.05","","","9.87","",,"1420534800","47.28","1420578000","26.31","1420534800","45.01","1420578000"
"Wed Jan 07 2015","Mostly cloudy until afternoon.","partly-cloudy-day","1420635370","1420671157","0.58","0","0.0007","1420678800","0","","29.76","1420646400","5.56","1420722000","23.96","1420639200","-2.39","1420707600","13.82","0.63","1033.86","5.87","21.69","1420668000","351","0.39","","","9.99","",,"1420693200","31.61","1420610400","1.13","1420693200","30.19","1420614000"
"Thu Jan 08 2015","Partly cloudy starting in the evening.","partly-cloudy-night","1420721768","1420757609","0.61","0","0","","0","","29.61","1420754400","18.43","1420808400","29.61","1420754400","18.43","1420808400","4.27","0.56","1034.99","0.46","12.65","1420696800","87","0.07","","","9.95","",,"1420722000","29.61","1420754400","-2.39","1420707600","29.61","1420754400"
"Fri Jan 09 2015","Clear throughout the day.","clear-day","1420808165","1420844061","0.64","0.0002","0.0011","1420833600","0.02","snow","37.62","1420837200","15.22","1420894800","36.55","1420830000","13.8","1420880400","13.71","0.56","1029.82","1.61","9.54","1420858800","321","0.14","","","9.96","",,"1420808400","37.62","1420837200","18.01","1420866000","36.55","1420830000"
"Sat Jan 10 2015","Mostly cloudy overnight.","partly-cloudy-night","1420894560","1420930515","0.67","0.0001","0.0009","1420920000","0.02","snow","40.32","1420927200","25.51","1420952400","40.32","1420927200","25.51","1420952400","10.57","0.53","1033.91","1.25","9.64","1420873200","35","0.04","","","10","",,"1420894800","40.32","1420927200","13.8","1420880400","40.32","1420927200"
